index,CH1
1111,2.5
1112,-3.5
1113,-6.5
1114,-8.5
1115,-21.5
1116,-1.5
1117,4.5
1118,4.5
1119,2.5
1120,3.5
1121,2.5
1122,-5.5
1123,-7.5
1124,-4.5
1125,-3.5
1126,-0.5
1127,4.5
1128,10.5
1129,12.5
1130,0.5
1131,1.5
1132,-3.5
1133,-9.5
1134,-7.5
1135,-3.5
1136,20.5
1137,6.5
1138,15.5
1139,7.5
1140,4.5
1141,1.5
1142,-7.5
1143,-11.5
1144,-1.5
1145,-0.5
1146,-3.5
1147,5.5
1148,5.5
1149,6.5
1150,4.5
1151,2.5
1152,-3.5
1153,-12.5
1154,-1.5
1155,-3.5
1156,-0.5
1157,4.5
1158,3.5
1159,3.5
1160,-5.5
1161,1.5
1162,-1.5
1163,-7.5
1164,-6.5
1165,-3.5
1166,-1.5
1167,7.5
1168,13.5
1169,6.5
1170,12.5
1171,-0.5
1172,-3.5
1173,-13.5
1174,2.5
1175,-6.5
1176,-1.5
1177,7.5
1178,6.5
1179,9.5
1180,-9.5
1181,-1.5
1182,-6.5
1183,-0.5
1184,7.5
1185,-0.5
1186,8.5
1187,7.5
1188,15.5
1189,4.5
1190,-22.5
1191,-4.5
1192,-7.5
1193,-0.5
1194,-4.5
1195,-4.5
1196,-0.5
1197,8.5
1198,6.5
1199,-10.5
1200,15.5
1201,-0.5
1202,-6.5
1203,-10.5
1204,-3.5
1205,-0.5
1206,-1.5
1207,5.5
1208,11.5
1209,-9.5
1210,2.5
1211,-1.5
1212,-4.5
1213,-12.5
1214,-6.5
1215,-1.5
1216,-1.5
1217,4.5
1218,12.5
1219,8.5
1220,-3.5
1221,-0.5
1222,-5.5
1223,-14.5
1224,-7.5
1225,-4.5
1226,-0.5
1227,5.5
1228,9.5
1229,10.5
1230,5.5
1231,3.5
1232,-4.5
1233,-15.5
1234,-4.5
1235,-7.5
1236,1.5
1237,4.5
1238,12.5
1239,9.5
1240,4.5
1241,0.5
1242,-4.5
1243,-12.5
1244,-4.5
1245,-7.5
1246,-0.5
1247,3.5
1248,13.5
1249,12.5
1250,6.5
1251,1.5
1252,-3.5
1253,-7.5
1254,-5.5
1255,0.5
1256,2.5
1257,2.5
1258,10.5
1259,10.5
1260,9.5
1261,-1.5
1262,-5.5
1263,-16.5
1264,-3.5
1265,10.5
1266,-8.5
1267,7.5
1268,10.5
1269,2.5
1270,1.5
1271,-3.5
1272,-8.5
1273,-9.5
1274,-3.5
1275,1.5
1276,0.5
1277,1.5
1278,9.5
1279,6.5
1280,6.5
1281,10.5
1282,-3.5
1283,-12.5
1284,-5.5
1285,-3.5
1286,-3.5
1287,4.5
1288,7.5
1289,6.5
1290,2.5
1291,22.5
1292,-7.5
1293,-8.5
1294,-0.5
1295,-1.5
1296,1.5
1297,6.5
1298,8.5
1299,2.5
1300,6.5
1301,3.5
1302,-6.5
1303,-12.5
1304,1.5
1305,-3.5
1306,0.5
1307,6.5
1308,12.5
1309,6.5
1310,-3.5
1311,0.5
1312,-11.5
1313,-12.5
1314,-19.5
1315,-4.5
1316,2.5
1317,1.5
1318,6.5
1319,8.5
1320,1.5
1321,2.5
1322,-5.5
1323,-12.5
1324,9.5
1325,-4.5
1326,5.5
1327,3.5
1328,8.5
1329,3.5
1330,0.5
1331,2.5
1332,-5.5
1333,-4.5
1334,-4.5
1335,-3.5
1336,1.5
1337,3.5
1338,1.5
1339,14.5
1340,6.5
1341,1.5
1342,-8.5
1343,-8.5
1344,-8.5
1345,-1.5
1346,1.5
1347,8.5
1348,26.5
1349,4.5
1350,6.5
1351,5.5
1352,6.5
1353,8.5
1354,-12.5
1355,-3.5
1356,-0.5
1357,6.5
1358,10.5
1359,6.5
1360,2.5
1361,-1.5
1362,-3.5
1363,-11.5
1364,-4.5
1365,-3.5
1366,-20.5
1367,6.5
1368,13.5
1369,9.5
1370,0.5
1371,-1.5
1372,-3.5
1373,-7.5
1374,-3.5
1375,-4.5
1376,-0.5
1377,6.5
1378,14.5
1379,4.5
1380,3.5
1381,5.5
1382,-7.5
1383,-1.5
1384,-6.5
1385,-6.5
1386,9.5
1387,8.5
1388,12.5
